packageId,bucket,cost,bestObserved,firstObserved,endDate,eventSlug,asset,source,gateOk,availableSize,minShares,payoutMultiple
what-price-will-bitcoin-hit-before-2027::YES-701495+NO-701494,1.02-1.05,1.04,2026-06-16T22:34:47.194000Z,2026-06-16T22:34:47.194000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,6270.0,11.55,
what-price-will-bitcoin-hit-before-2027::YES-701487+NO-701486,1.000-1.005,1.001,2026-06-16T22:34:51.159000Z,2026-06-16T22:34:51.159000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,748.49,68.19,
what-price-will-bitcoin-hit-before-2027::YES-1057916+NO-1343228,1.005-1.02,1.015,2026-06-16T22:34:53.865000Z,2026-06-16T22:34:53.865000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,352.7,36.599999999999994,
what-price-will-bitcoin-hit-before-2027::YES-701504+NO-1343228,1.05-1.10,1.064,2026-06-16T22:34:54.336000Z,2026-06-16T22:34:54.336000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,182.94,16.68,
what-price-will-bitcoin-hit-before-2027::YES-1339769+NO-1343228,1.05-1.10,1.0939999999999999,2026-06-16T22:34:54.570000Z,2026-06-16T22:34:54.570000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,101.85,12.51,
what-price-will-bitcoin-hit-before-2027::YES-701503+NO-1343228,1.10-1.16,1.154,2026-06-16T22:34:54.807000Z,2026-06-16T22:34:54.807000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,125.97,8.34,
what-price-will-bitcoin-hit-before-2027::YES-701502+NO-1343228,1.25-2.00,1.3639999999999999,2026-06-16T22:34:55.275000Z,2026-06-16T22:34:55.275000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,569.15,7.5,
what-price-will-bitcoin-hit-before-2027::YES-1057916+NO-1343220,1.005-1.02,1.006,2026-06-16T22:34:56.032000Z,2026-06-16T22:34:56.032000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,352.7,36.599999999999994,
what-price-will-bitcoin-hit-before-2027::YES-1339769+NO-1343220,1.05-1.10,1.085,2026-06-16T22:34:56.032000Z,2026-06-16T22:34:56.032000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,101.85,12.51,
what-price-will-bitcoin-hit-before-2027::YES-701502+NO-1343220,1.25-2.00,1.355,2026-06-16T22:34:56.032000Z,2026-06-16T22:34:56.032000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,505.39,7.5,
what-price-will-bitcoin-hit-before-2027::YES-701503+NO-1343220,1.10-1.16,1.145,2026-06-16T22:34:56.032000Z,2026-06-16T22:34:56.032000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,125.97,8.34,
what-price-will-bitcoin-hit-before-2027::YES-701504+NO-1343220,1.05-1.10,1.055,2026-06-16T22:34:56.032000Z,2026-06-16T22:34:56.032000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,182.94,16.68,
what-price-will-bitcoin-hit-before-2027::YES-1339769+NO-1057916,1.05-1.10,1.08,2026-06-16T22:34:56.293000Z,2026-06-16T22:34:56.293000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,101.85,12.51,
what-price-will-bitcoin-hit-before-2027::YES-701502+NO-1057916,1.25-2.00,1.35,2026-06-16T22:34:56.293000Z,2026-06-16T22:34:56.293000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,569.15,7.5,
what-price-will-bitcoin-hit-before-2027::YES-701503+NO-1057916,1.10-1.16,1.14,2026-06-16T22:34:56.293000Z,2026-06-16T22:34:56.293000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,125.97,8.34,
what-price-will-bitcoin-hit-before-2027::YES-701504+NO-1057916,1.05-1.10,1.05,2026-06-16T22:34:56.293000Z,2026-06-16T22:34:56.293000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,182.94,16.68,
what-price-will-bitcoin-hit-before-2027::YES-1339769+NO-1343219,1.05-1.10,1.06,2026-06-16T22:34:56.545000Z,2026-06-16T22:34:56.545000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,101.85,12.51,
what-price-will-bitcoin-hit-before-2027::YES-701504+NO-1343219,1.02-1.05,1.03,2026-06-16T22:34:56.545000Z,2026-06-16T22:34:56.545000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,182.94,16.68,
what-price-will-bitcoin-hit-before-2027::YES-701502+NO-1343219,1.25-2.00,1.33,2026-06-16T22:34:56.546000Z,2026-06-16T22:34:56.546000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,569.15,7.5,
what-price-will-bitcoin-hit-before-2027::YES-701503+NO-1343219,1.10-1.16,1.1199999999999999,2026-06-16T22:34:56.546000Z,2026-06-16T22:34:56.546000Z,2027-01-01T05:00:00Z,what-price-will-bitcoin-hit-before-2027,BTC,middle_or_snapshot_audit,False,125.97,8.34,
what-price-will-ethereum-hit-before-2027::YES-701541+NO-701540,1.005-1.02,1.007,2026-06-16T22:35:02.314000Z,2026-06-16T22:35:02.314000Z,2027-01-01T05:00:00Z,what-price-will-ethereum-hit-before-2027,ETH,middle_or_snapshot_audit,False,674.05,55.56,
mlb-cws-nyy-2026-06-16::YES-2555928+NO-2559066,1.10-1.16,1.1099999999999999,2026-06-16T22:35:02.609000Z,2026-06-16T22:35:02.609000Z,2026-06-16T23:05:00Z,mlb-cws-nyy-2026-06-16,MLB,middle_or_snapshot_audit,False,8145.0,10.0,1
mlb-mia-phi-2026-06-16::YES-2558788+NO-2558790,1.16-1.25,1.19,2026-06-16T22:35:03.752000Z,2026-06-16T22:35:03.752000Z,2026-06-16T22:40:00Z,mlb-mia-phi-2026-06-16,MLB,middle_or_snapshot_audit,False,347.0,10.0,1
fifwc-irq-nor-2026-06-16-more-markets::YES-2326658+NO-2326662,1.25-2.00,1.82,2026-06-16T22:35:16.283000Z,2026-06-16T22:35:16.283000Z,2026-06-16T22:00:00Z,fifwc-irq-nor-2026-06-16-more-markets,SOCCER,middle_or_snapshot_audit,False,8.09,10.0,2
mlb-sd-stl-2026-06-16::YES-2559120+NO-2559121,1.05-1.10,1.08,2026-06-16T22:35:16.505000Z,2026-06-16T22:35:16.505000Z,2026-06-16T23:45:00Z,mlb-sd-stl-2026-06-16,MLB,middle_or_snapshot_audit,False,425.0,10.0,1
mlb-sd-stl-2026-06-16::YES-2559113+NO-2559111,1.16-1.25,1.19,2026-06-16T22:35:24.279000Z,2026-06-16T22:35:24.279000Z,2026-06-16T23:45:00Z,mlb-sd-stl-2026-06-16,MLB,middle_or_snapshot_audit,False,6282.46,10.0,1
fifwc-irq-nor-2026-06-16-more-markets::YES-2482134+NO-2482135,1.25-2.00,1.27,2026-06-16T22:35:25.764000Z,2026-06-16T22:35:25.764000Z,2026-06-16T22:00:00Z,fifwc-irq-nor-2026-06-16-more-markets,SOCCER,middle_or_snapshot_audit,False,10.0,10.0,2
mlb-kc-wsh-2026-06-16::YES-2555913+NO-2558802,1.16-1.25,1.24,2026-06-16T22:35:31.242000Z,2026-06-16T22:35:31.242000Z,2026-06-16T22:45:00Z,mlb-kc-wsh-2026-06-16,MLB,middle_or_snapshot_audit,False,255.0,10.0,1
