scenario_type,scenario,eligible_buckets,bet_size,starting_bankroll,tracked_packages_total,tracked_packages_open_unknown,resolved_candidates,trades_taken,middles,floors,zeros,middle_rate,gross_staked,gross_payout,profit,final_equity,roi_pct,turnover_x,max_capital_used,simulation_days,annualized_return_pct,notes
bucket,1.000-1.005,1.000-1.005,10,10000.0,1,0,1,1,0,1,0,0.0,10,10.0,0.0,10000.0,0.0,0.001,10,1.0,0.0,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.000-1.005,1.000-1.005,20,10000.0,1,0,1,1,0,1,0,0.0,20,20.0,0.0,10000.0,0.0,0.002,20,1.0,0.0,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.000-1.005,1.000-1.005,30,10000.0,1,0,1,1,0,1,0,0.0,30,30.0,0.0,10000.0,0.0,0.003,30,1.0,0.0,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.000-1.005,1.000-1.005,40,10000.0,1,0,1,1,0,1,0,0.0,40,40.0,0.0,10000.0,0.0,0.004,40,1.0,0.0,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.000-1.005,1.000-1.005,50,10000.0,1,0,1,1,0,1,0,0.0,50,50.0,0.0,10000.0,0.0,0.005,50,1.0,0.0,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.000-1.005,1.000-1.005,60,10000.0,1,0,1,1,0,1,0,0.0,60,60.0,0.0,10000.0,0.0,0.006,60,1.0,0.0,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.000-1.005,1.000-1.005,70,10000.0,1,0,1,1,0,1,0,0.0,70,70.0,0.0,10000.0,0.0,0.007,70,1.0,0.0,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.000-1.005,1.000-1.005,80,10000.0,1,0,1,1,0,1,0,0.0,80,80.0,0.0,10000.0,0.0,0.008,80,1.0,0.0,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.000-1.005,1.000-1.005,90,10000.0,1,0,1,1,0,1,0,0.0,90,90.0,0.0,10000.0,0.0,0.009,90,1.0,0.0,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.000-1.005,1.000-1.005,100,10000.0,1,0,1,1,0,1,0,0.0,100,100.0,0.0,10000.0,0.0,0.01,100,1.0,0.0,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.000-1.005,1.000-1.005,150,10000.0,1,0,1,1,0,1,0,0.0,150,150.0,0.0,10000.0,0.0,0.015,150,1.0,0.0,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.000-1.005,1.000-1.005,200,10000.0,1,0,1,1,0,1,0,0.0,200,200.0,0.0,10000.0,0.0,0.02,200,1.0,0.0,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.02-1.05,1.02-1.05,10,10000.0,52,47,5,5,0,5,0,0.0,50,48.25,-1.75,9998.25,-0.0175,0.005,50,1.0,-6.18,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.02-1.05,1.02-1.05,20,10000.0,52,47,5,5,0,5,0,0.0,100,96.51,-3.49,9996.51,-0.0349,0.01,100,1.0,-11.97,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.02-1.05,1.02-1.05,30,10000.0,52,47,5,5,0,5,0,0.0,150,144.76,-5.24,9994.76,-0.0524,0.015,150,1.0,-17.41,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.02-1.05,1.02-1.05,40,10000.0,52,47,5,5,0,5,0,0.0,200,193.01,-6.99,9993.01,-0.0699,0.02,200,1.0,-22.52,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.02-1.05,1.02-1.05,50,10000.0,52,47,5,5,0,5,0,0.0,250,241.27,-8.73,9991.27,-0.0873,0.025,250,1.0,-27.31,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.02-1.05,1.02-1.05,60,10000.0,52,47,5,5,0,5,0,0.0,300,289.52,-10.48,9989.52,-0.1048,0.03,300,1.0,-31.8,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.02-1.05,1.02-1.05,70,10000.0,52,47,5,5,0,5,0,0.0,350,337.77,-12.23,9987.77,-0.1223,0.035,350,1.0,-36.02,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.02-1.05,1.02-1.05,80,10000.0,52,47,5,5,0,5,0,0.0,400,386.03,-13.97,9986.03,-0.1397,0.04,400,1.0,-39.97,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.02-1.05,1.02-1.05,90,10000.0,52,47,5,5,0,5,0,0.0,450,434.28,-15.72,9984.28,-0.1572,0.045,450,1.0,-43.69,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.02-1.05,1.02-1.05,100,10000.0,52,47,5,5,0,5,0,0.0,500,482.53,-17.47,9982.53,-0.1747,0.05,500,1.0,-47.17,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.02-1.05,1.02-1.05,150,10000.0,52,47,5,5,0,5,0,0.0,750,723.8,-26.2,9973.8,-0.262,0.075,750,1.0,-61.62,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.02-1.05,1.02-1.05,200,10000.0,52,47,5,5,0,5,0,0.0,1000,965.07,-34.93,9965.07,-0.3493,0.1,1000,1.0,-72.12,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.05-1.10,1.05-1.10,10,10000.0,80,77,3,3,1,2,0,0.3333333333333333,30,37.85,7.85,10007.85,0.0785,0.003,30,1.0,33.15,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.05-1.10,1.05-1.10,20,10000.0,80,77,3,3,1,2,0,0.3333333333333333,60,75.7,15.7,10015.7,0.157,0.006,60,1.0,77.26,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.05-1.10,1.05-1.10,30,10000.0,80,77,3,3,1,2,0,0.3333333333333333,90,113.54,23.54,10023.54,0.2354,0.009,90,1.0,135.92,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.05-1.10,1.05-1.10,40,10000.0,80,77,3,3,1,2,0,0.3333333333333333,120,151.39,31.39,10031.39,0.3139,0.012,120,1.0,213.93,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.05-1.10,1.05-1.10,50,10000.0,80,77,3,3,1,2,0,0.3333333333333333,150,189.24,39.24,10039.24,0.3924,0.015,150,1.0,317.63,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.05-1.10,1.05-1.10,60,10000.0,80,77,3,3,1,2,0,0.3333333333333333,180,227.09,47.09,10047.09,0.4709,0.018,180,1.0,455.47,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.05-1.10,1.05-1.10,70,10000.0,80,77,3,3,1,2,0,0.3333333333333333,210,264.94,54.94,10054.94,0.5494,0.021,210,1.0,638.64,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.05-1.10,1.05-1.10,80,10000.0,80,77,3,3,1,2,0,0.3333333333333333,240,302.78,62.78,10062.78,0.6278,0.024,240,1.0,881.99,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.05-1.10,1.05-1.10,90,10000.0,80,77,3,3,1,2,0,0.3333333333333333,270,340.63,70.63,10070.63,0.7063,0.027,270,1.0,1205.23,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.05-1.10,1.05-1.10,100,10000.0,80,77,3,3,1,2,0,0.3333333333333333,300,378.48,78.48,10078.48,0.7848,0.03,300,1.0,1634.47,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.05-1.10,1.05-1.10,150,10000.0,80,77,3,3,1,2,0,0.3333333333333333,450,567.72,117.72,10117.72,1.1772,0.045,450,1.0,7063.71,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.05-1.10,1.05-1.10,200,10000.0,80,77,3,3,1,2,0,0.3333333333333333,600,756.96,156.96,10156.96,1.5696,0.06,600,1.0,29325.52,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.10-1.16,1.10-1.16,10,10000.0,139,134,5,5,0,5,0,0.0,50,43.93,-6.07,9993.93,-0.0607,0.005,50,1.0,-19.87,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.10-1.16,1.10-1.16,20,10000.0,139,134,5,5,0,5,0,0.0,100,87.87,-12.13,9987.87,-0.1213,0.01,100,1.0,-35.8,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.10-1.16,1.10-1.16,30,10000.0,139,134,5,5,0,5,0,0.0,150,131.8,-18.2,9981.8,-0.182,0.015,150,1.0,-48.57,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.10-1.16,1.10-1.16,40,10000.0,139,134,5,5,0,5,0,0.0,200,175.73,-24.27,9975.73,-0.2427,0.02,200,1.0,-58.81,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.10-1.16,1.10-1.16,50,10000.0,139,134,5,5,0,5,0,0.0,250,219.66,-30.34,9969.66,-0.3034,0.025,250,1.0,-67.01,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.10-1.16,1.10-1.16,60,10000.0,139,134,5,5,0,5,0,0.0,300,263.6,-36.4,9963.6,-0.364,0.03,300,1.0,-73.58,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.10-1.16,1.10-1.16,70,10000.0,139,134,5,5,0,5,0,0.0,350,307.53,-42.47,9957.53,-0.4247,0.035,350,1.0,-78.85,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.10-1.16,1.10-1.16,80,10000.0,139,134,5,5,0,5,0,0.0,400,351.46,-48.54,9951.46,-0.4854,0.04,400,1.0,-83.07,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.10-1.16,1.10-1.16,90,10000.0,139,134,5,5,0,5,0,0.0,450,395.4,-54.6,9945.4,-0.546,0.045,450,1.0,-86.45,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.10-1.16,1.10-1.16,100,10000.0,139,134,5,5,0,5,0,0.0,500,439.33,-60.67,9939.33,-0.6067,0.05,500,1.0,-89.15,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
bucket,1.10-1.16,1.10-1.16,150,10000.0,139,134,5,5,0,5,0,0.0,750,658.99,-91.01,9908.99,-0.9101,0.075,750,1.0,-96.45,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
